"","x"
"1","The megaprior heuristic for discovering protein sequence patterns."
"2","Skyt The GANNsystem. Genetic Algorithms generating feedforward neural networks. http://www.daimi.aau.dk/~damgaard/NNSG/ 25 Du Junping,K.L.Rasmussen,J.Aagaard,B.Mayoh, T.Srensen,etc. Applications of Machine Learning: a Medical Follow Up Study."
"3","http:##www-anw.cs.umass.edu#~mharmon#rltutorial#docs#singh.ps"
"4","Planning and acting in partially observable stochastic domains."
"5","(1997) Variational methods for inference and estimation in graphical models. Unpublished doctoral dissertation,"
"6","ftp:##ftp.engr.orst.edu#pub#dambrosi#uai-96.ps.Z"
"7","http:##www.cs.orst.edu:80#~tadepall#research#papers#speedup-learning.ps"
"8","http:##www.cs.berkeley.edu#~murphyk#Articles#cpm96.ps.gz"
"9","http:##www.math.tau.ac.il#~mansour#papers#95eurocolt.ps.gz"
"10","http:##www.pstat.ucsb.edu#~yuedong#papers#grkpack.ps"
"11","http:##www.cogs.susx.ac.uk#users#ibrahim#tainn96.ps"
"12","""Estimating Bayes factors via posterior simulation with the Laplace-Metropolis estimator,"""
"13","Unifying empirical and explanation-based learning by modeling the utility of learned knowledge."
"14","Hidden Markov models in computational biology: Applications to protein modeling."
"15","Back propagation is sensitive to initial conditions."
"16","http:##www.cs.utexas.edu#users#bogo#paper.ps"
"17","Topography and ocular dominance: A model exploring positive correla-tions."
"18","Validation of average error rate over classifiers,"
"19","Learning in hybrid noise environments using statistical queries."
"20","http:##www.cs.colostate.edu#~pyeatt#rltree.ps"
"21","Discovering complex Othello strategies through evolutionary neural networks."
"22","(1997b) Applications and extensions of MCMC in IRT: Multiple item types, missing data, and rated responses."
"23","General bounds on statistical query learning and PAC learning with noise via hypothesis boosting."
"24","Neural Network Applicability: Classifying the Problem Space,"
"25","Formal rules for selecting prior distributions: a review and annotated bibliography."
"26","A Delay Damage Model Selection Algorithm for NARX Neural Networks,"
"27","http:##www.aubg.bg#faculty#cs#nikolaev#papers#ecai96.ps.gz"
"28","Towards more creative case-based design systems."
"29","http:##www.ri.cmu.edu#afs#cs.cmu.edu#project#link#www#papers#ps#gmm.ps"
"30","M.L. (1996) Design by Interactive Exploration Using Memory-Based Techniques."
"31","Learning generative models with the up-propagation algorithm."
"32","Using a case-base of surfaces to speed-up reinforcement learning."
"33","A teaching method for memory-based control."
"34","Generative models for discovering sparse distributed representations."
"35","Hierarchical evolution of neural networks."
"36","Finding structure in reinforcement learning."
"37","Long. On-line learning with linear loss constraints."
"38","Markov chain Monte Carlo convergence diagnostics: A comparative review."
"39","Competitive anti-hebbian learning of invariants."
"40","http:##c.gp.cs.cmu.edu:5103#afs#cs.cmu.edu#project#reinforcement#papers#deng.multires.ps"
"41","Acting under uncertainty: Discrete bayesian models for mobile-robot navigation."
"42","The Pandemonium system of reflective agents."
"43","An implementation and experiment with the nested generalized exemplars algorithm."
"44","""Sampling from Multimodal Distributions Using Tempered Transitions,"""
